year,month,date,arrival,min,max,modal
2023,June,02,0.02,12000,14000,12000
2023,February,03,0.02,12000,14000,12000
2023,June,05,0.02,12000,14000,12000
2023,February,06,0.02,12000,14000,12000
2023,January,06,0.02,12000,14000,12000
2023,May,08,0.02,12000,14000,12000
2023,January,09,0.02,12000,14000,12000
2023,June,09,0.02,12000,14000,12000
2023,February,10,0.02,12000,14000,12000
2023,May,12,0.02,12000,14000,12000
2023,February,13,0.02,12000,14000,12000
2023,January,13,0.02,12000,14000,12000
2023,May,15,0.02,12000,14000,12000
2023,February,17,0.02,12000,14000,12000
2023,May,19,0.02,12000,14000,12000
2023,February,20,0.02,12000,14000,12000
2023,January,20,0.02,12000,14000,12000
2023,May,22,0.02,12000,14000,12000
2023,January,23,0.02,12000,14000,12000
2023,May,26,0.02,12000,14000,12000
2023,January,27,0.02,12000,14000,12000
2023,May,29,0.02,12000,14000,12000
2023,January,30,0.02,12000,14000,12000
2023,June,23,0.05,10000,12000,11000
2023,June,12,0.05,12000,13000,12000
2023,June,16,0.05,12000,13000,12000
2023,June,19,0.05,12000,13000,12000
2023,June,30,0.06,12000,14000,13000
2023,September,07,0.06,18000,20000,19000
2019,June,01,0.07,6000,10000,8000
2019,June,13,0.07,6000,10000,8000
2019,June,17,0.07,6000,10000,8000
2019,June,03,0.07,8000,12000,10000
2019,June,04,0.07,8000,12000,10000
2019,June,06,0.07,8000,12000,10000
2019,June,07,0.07,8000,12000,10000
2019,June,08,0.07,8000,12000,10000
2019,June,10,0.07,8000,12000,10000
2019,June,11,0.07,8000,12000,10000
2019,June,12,0.07,8000,12000,10000
2019,June,14,0.07,8000,12000,10000
2019,June,15,0.07,8000,12000,10000
2019,July,24,0.07,8000,12000,10000
